,device_1_plugged_in,device_2_plugged_in,device_3_plugged_in,device_4_plugged_in,device_5_plugged_in,device_6_plugged_in,device_7_plugged_in,device_1_kWh_charged,device_2_kWh_charged,device_3_kWh_charged,device_4_kWh_charged,device_5_kWh_charged,device_6_kWh_charged,device_7_kWh_charged
2023-10-07 14:30:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 14:45:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 15:00:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 15:15:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 15:30:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 15:45:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 16:00:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 16:15:00+00:00,False,True,False,False,False,True,False,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.0
2023-10-07 16:30:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 16:45:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 17:00:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 17:15:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 17:30:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 17:45:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 18:00:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 18:15:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 18:30:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 18:45:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
2023-10-07 19:00:00+00:00,False,True,False,False,False,True,True,0.0,0.4459193970959596,0.0,0.0,0.0,0.2284919773148148,0.8510025555555556
