,start,n_intervals,device_id,prices
71,2023-10-13 14:30:00+00:00,73,1,"[4.648, 7.423000000000002, 7.63, 1.594, 0.505, 0.02, -0.081, -0.009, -0.187, -0.149, -0.172, -0.221, -0.208, -0.096, -0.002, 0.909, 2.06, 0.108]"
72,2023-10-30 18:30:00+00:00,52,1,"[12.902, 11.727, 11.326, 9.540000000000001, 8.605, 7.92, 7.196, 6.48, 6.197, 6.977, 8.848, 10.739, 10.802]"
73,2023-11-18 07:30:00+00:00,5,1,[9.736]
74,2023-11-18 14:00:00+00:00,68,1,"[9.761, 9.598, 10.507, 10.734000000000002, 9.124, 8.31, 7.798000000000002, 7.376000000000001, 5.811, 1.913, 0.567, 0.41, 0.013, 0.007, 0.009, 0.233, 0.559, 1.449, 1.882, 1.259, 1.266, 1.167, 0.1, 1.5550000000000002, 6.731000000000001, 8.098, 9.502, 10.455, 10.382, 8.865, 8.438, 8.805, 8.005, 6.83, 6.268000000000001, 5.991, 6.003, 6.476000000000001, 8.043000000000001, 10.275, 12.809, 12.667000000000002]"
75,2023-11-29 16:15:00+00:00,56,1,"[25.0, 20.0, 16.1, 13.901, 12.85, 11.427, 10.479, 10.452, 10.22, 10.0, 10.163, 10.63, 12.941, 16.809]"
76,2024-01-25 12:00:00+00:00,4,1,"[7.786, 8.707]"
77,2024-02-23 22:45:00+00:00,33,1,"[6.647, 6.39, 5.95, 5.52, 5.539, 5.71, 6.167, 6.611, 6.44]"
78,2023-10-06 06:45:00+00:00,57,5,[]
79,2023-11-02 08:30:00+00:00,27,5,"[6.008, 6.143000000000001, 6.04, 5.936, 6.95, 7.608, 7.943000000000001]"
80,2023-11-17 10:45:00+00:00,5,5,"[11.95, 11.2]"
81,2023-11-24 07:45:00+00:00,35,5,"[9.399, 8.695, 7.942, 7.633, 7.1450000000000005, 7.538, 7.737000000000001, 8.524, 9.097]"
82,2023-11-26 13:00:00+00:00,74,5,"[11.51, 12.326, 13.415, 14.381, 14.967, 14.378, 13.591, 12.241, 11.899, 10.244, 9.926000000000002, 9.409, 8.99, 8.882, 8.791, 9.409, 12.201, 13.892, 14.499000000000002]"
83,2023-11-30 18:45:00+00:00,52,5,"[15.393, 13.272, 12.472, 11.379, 10.691, 10.263, 9.91, 9.588, 9.607, 10.231000000000002, 12.003, 15.211000000000002, 20.346000000000004]"
84,2023-12-05 07:15:00+00:00,27,5,"[12.288, 12.055, 12.127, 11.834, 11.853000000000002, 12.726, 12.259]"
85,2023-12-18 11:15:00+00:00,14,5,"[7.490000000000002, 8.11, 8.911]"
86,2023-12-23 14:15:00+00:00,9,5,"[5.805, 6.812000000000001, 6.6450000000000005, 6.155, 5.370000000000001, 4.156000000000001, 2.029, 0.774, 0.0, -0.003, -0.0289999999999999, -0.097, -0.374, -0.497, -0.422, -0.291, -0.293, -0.313, -0.515, -0.357, -0.295, -0.377, -0.219, -0.2259999999999999, -0.205, -0.236]"
